variable_name,varid,type,dimension,long_name,standard_name,conventions,units,_FillValue,valid_min,valid_max,axis,ancillary_variable,accuracy,precision,resolution,cell_methods,DM_indicator,reference_scale,coordinate_reference,coordinate_reference_frame,sdn_parameter_urn,sdn_uom_urn,comment  ,Example
START_DATE_QC,start_date_qc,char,,Quality on start date,,POPSTAR reference table 2,,,,,,,,,,,,,,,,,Quality flag on start date. The flag scale is described in the reference table 2.,�1� : start date seems correct.
STARTUP_DATE,startup_date,char,DATE_TIME,Date (UTC) of the activation of the tag,,YYYYMMDDHHMISS,,,,,,,,,,,,,,,,,Date and time (UTC) of the activation of the tag before or just after deployment. Format : YYYYMMDDHHMISS ,20011230090500 : December 30th 2001 06:05:00 AM
STARTUP_DATE_QC,startup_date_qc,char,,Quality on startup date,,POPSTAR reference table 2,,,,,,,,,,,,,,,,,Quality flag on startup date. The flag scale is described in the reference table 2.,�1� : start date seems correct.
DEPLOYMENT_PLATFORM,deployment_platform,char,STRING32,Identifier of the deployment platform,,,,,,,,,,,,,,,,,,,"Identifier of the deployment platform, i.e. vessel or ship name.",L�ATALANTE 
DEPLOYMENT_CRUISE_ID,deployment_cruise_id,char,STRING32,Identification number or reference number of the cruise used to deploy the tag,,,,,,,,,,,,,,,,,,,Identification number or reference number of the cruise used to deploy the tag.,
END_MISSION_DATE,end_mission_date,char,DATE_TIME,Date (UTC) of the end of mission of the tag,,YYYYMMDDHHMISS,,,,,,,,,,,,,,,,,Date (UTC) of the end of mission of the tag. Format : YYYYMMDDHHMISS,20011230090500 : December 30th 2001 03:05:00
END_MISSION_STATUS,end_mission_status,char,,Status of the end of mission of the tag,,"T:No more transmission received, R:Retrieved",,,,,,,,,,,,,,,,,"Status of the end of mission of the tag. �T�:No more transmission received, �R�:Retrieved ",
,,,,,,,,,,,,,,,,,,,,,,,,
CONFIG_PARAMETER_NAME,config_parameter_name,char,"N_CONFIG_PARAM, STRING128",Name of configuration parameter,,,,,,,,,,,,,,,,,,,Name of the configuration parameter, mission settings. See reference table 18 for standard configuration parameter names.
CONFIG_PARAMETER_DATE,config_parameter_date,double,N_MISSION,Julian 1950 time of the mission,,,days since 1950-01-01T00:00:00Z,999999,,,,,,,,,,,,,,,Date of the mission.,
CONFIG_PARAMETER_VALUE,config_parameter_value,double,"N_MISSION, N_CONFIG_PARAM",Value of configuration parameter,,,,99999.f,,,,,,,,,,,,,,,Value of the configuration parameter, mission settings.
